OrderID,OrderDate,ProductID,CustomerID,RegionID,Quantity,DiscountPct,SalesAmount,CostAmount
O000083,2024-04-03,P0108,C0678,R02,3,0.0418,339.45,247.9
O000084,2025-08-10,P0160,C0405,R10,5,0.1639,4050.58,3814.78
O000085,2024-08-04,P0021,C0099,R13,1,0.0411,471.15,396.08
O000086,2025-05-11,P0052,C1195,R11,1,0.0835,920.68,571.19
O000087,2023-07-09,P0138,C0751,R20,3,0.0819,2677.25,2110.77
O000088,2025-06-22,P0069,C0714,R16,3,0.055,337.2,246.81
O000089,2025-10-11,P0023,C0775,R17,5,0.0913,1453.82,926.53
O000090,2023-08-28,P0104,C0372,R14,2,0.0155,2090.95,1487.19
O000091,2025-11-05,P0159,C0040,R13,1,0.0985,215.64,170.72
O000092,2024-01-06,P0005,C0198,R03,7,0.0855,171.67,116.62
O000093,2023-01-23,P0080,C0976,R05,2,0.0479,2374.72,1729.71
O000094,2023-03-04,P0197,C0458,R13,3,0.0247,2266.99,1564.51
O000095,2025-02-11,P0011,C1177,R07,1,0.145,91.77,85.71
O000096,2024-08-18,P0018,C0331,R11,1,0.0612,22.14,14.94
O000097,2023-03-25,P0203,C0563,R10,10,0.1736,13653.83,9546.8
O000098,2024-01-07,P0038,C1048,R13,1,0.0511,1277.18,1038.24
O000099,2024-05-08,P0121,C0876,R11,5,0.0374,1661.57,1374.79
O000100,2024-07-01,P0118,C0632,R07,4,0.0313,6038.09,4255.8
O000101,2025-10-12,P0133,C0700,R02,5,0.0846,4285.14,2909.58
O000102,2025-07-07,P0176,C1122,R02,1,0.0779,45.55,30.45
O000103,2025-12-09,P0143,C0596,R17,3,0.064,5205.35,3312.33
O000104,2024-03-07,P0207,C0391,R15,1,0.0476,99.98,63.8
O000105,2025-07-28,P0141,C0916,R10,3,0.0517,2299.83,1492.37
O000106,2023-04-16,P0026,C0155,R09,1,0.0614,17.64,13.17
O000107,2023-11-15,P0132,C0050,R16,1,0.0699,440.79,342.7
O000108,2023-03-13,P0004,C1024,R17,10,0.0783,984.12,681.19
O000109,2024-12-17,P0084,C1086,R17,1,0.0563,87.91,60.26
O000110,2024-10-10,P0154,C0768,R10,2,0.0747,110.63,69.36
O000111,2025-08-05,P0212,C0239,R07,2,0.013,1876.49,1193.58
O000112,2024-08-09,P0060,C0830,R01,2,0.026,2765.37,2099.75
O000113,2023-06-09,P0022,C1138,R08,2,0.0274,960.21,767.39
O000114,2024-01-08,P0030,C0186,R09,5,0.0216,1728.71,1446.62
O000115,2025-12-05,P0090,C0224,R05,1,0.0959,339.42,262.65
O000116,2023-11-25,P0001,C0377,R15,1,0.0056,326.45,238.72
O000117,2023-03-13,P0071,C0338,R07,3,0.0451,193.82,168.41
O000118,2023-02-13,P0213,C0070,R10,2,0.013,526.93,407.54
O000119,2024-05-25,P0080,C0103,R17,2,0.0376,2396.48,1689.06
O000120,2023-10-24,P0162,C0328,R01,1,0.1016,453.38,417.67
O000121,2024-07-07,P0034,C0304,R18,4,0.0505,1905.75,1238.28
O000122,2024-09-28,P0076,C0808,R03,8,0.0155,14303.69,9838.9
O000123,2024-01-12,P0104,C0926,R19,1,0.0994,954.3,730.75
O000124,2024-12-14,P0132,C0970,R01,1,0.0561,441.16,353.33
O000125,2023-03-27,P0119,C1063,R03,6,0.0858,3313.55,2045.75
O000126,2025-05-26,P0196,C1123,R06,1,0.068,1161.86,845.45
O000127,2024-12-27,P0213,C0900,R13,2,0.0741,519.96,399.63
O000128,2024-10-05,P0201,C0416,R14,3,0.0992,1099.4,869.9
O000129,2023-07-03,P0166,C0279,R02,1,0.0422,80.79,67.32
O000130,2024-11-09,P0118,C0312,R14,1,0.1038,1453.06,1056.11
O000131,2025-01-08,P0150,C0862,R19,1,0.0575,68.67,56.4
O000132,2023-02-19,P0207,C1021,R02,5,0.0615,475.22,311.2
O000133,2023-03-05,P0146,C0048,R18,1,0.0735,282.04,175.5
O000134,2023-04-07,P0167,C0432,R15,4,0.1343,1336.44,1161.2
O000135,2024-10-23,P0140,C0559,R16,2,0.0164,2742.08,1713.03
O000136,2025-08-17,P0121,C0493,R16,1,0.0564,322.88,283.45
O000137,2024-06-23,P0092,C0663,R01,1,0.0266,184.09,113.01
O000138,2024-11-26,P0084,C0262,R04,2,0.0415,175.26,122.4
O000139,2025-05-27,P0085,C0114,R10,3,0.0757,525.46,359.86
O000140,2025-02-28,P0207,C0064,R20,5,0.0589,479.75,318.15
O000141,2023-06-19,P0033,C0005,R09,3,0.1135,1346.06,1052.59
O000142,2023-10-15,P0043,C0232,R18,2,0.0455,948.11,587.7
O000143,2024-07-18,P0093,C0919,R06,2,0.0434,10.29,6.42
O000144,2025-12-21,P0120,C0222,R10,5,0.166,1696.86,1126.96
O000145,2025-11-25,P0029,C0464,R09,1,0.1514,296.87,273.2
O000146,2025-11-17,P0030,C0891,R02,1,0.0375,339.26,287.21
O000147,2025-11-17,P0072,C1200,R13,3,0.1076,767.44,497.95
O000148,2023-08-12,P0030,C0768,R10,3,0.0917,985.62,869.8
O000149,2024-12-23,P0177,C0146,R18,4,0.0673,1096.03,726.28
O000150,2023-08-10,P0014,C0079,R12,1,0.0026,44.06,30.74
O000151,2025-06-10,P0184,C0179,R19,10,0.1502,2783.14,2133.31
O000152,2024-03-18,P0069,C0021,R11,7,0.0924,752.97,572.07
O000153,2023-11-18,P0142,C0250,R01,3,0.0538,133.29,106.15
O000154,2023-06-10,P0176,C0568,R05,1,0.0668,46.73,30.36
O000155,2025-11-01,P0081,C1003,R12,5,0.1095,765.72,641.65
O000156,2025-12-21,P0041,C0681,R15,3,0.0984,834.6,591.67
O000157,2025-06-03,P0169,C1029,R12,4,0.0075,608.16,380.79
O000158,2023-05-04,P0184,C0806,R16,2,0.003,655.5,426.81
O000159,2025-03-04,P0114,C0107,R16,3,0.0561,1840.41,1105.56
O000160,2025-07-21,P0219,C0364,R18,1,0.076,119.23,78.34
O000161,2024-09-22,P0164,C0575,R01,3,0.0289,1461.2,1121.02
O000162,2024-05-15,P0116,C0675,R13,1,0.0193,573.69,441.71
O000163,2025-07-03,P0173,C0917,R11,1,0.0863,320.77,211.64
O000164,2025-08-03,P0174,C0727,R15,6,0.0707,72.35,65.85
O000165,2024-05-16,P0152,C0944,R10,5,0.0677,278.99,195.2
O000166,2024-01-24,P0147,C0037,R18,2,0.0516,186.45,136.63
O000167,2024-04-20,P0185,C0417,R20,2,0.1759,34.99,32.72
O000168,2025-11-16,P0102,C1190,R01,1,0.0897,545.58,452.79
O000169,2024-05-15,P0118,C0169,R07,5,0.0608,7587.51,5272.72
O000170,2023-01-21,P0063,C1135,R13,1,0.0886,270.81,238.77
O000171,2023-06-06,P0077,C0405,R10,1,0.0492,355.91,287.02
O000172,2025-10-04,P0148,C0452,R19,3,0.0198,2503.76,1791.09
O000173,2025-10-10,P0182,C0126,R12,7,0.088,2453.65,1974.58
O000174,2025-06-05,P0051,C0713,R15,6,0.1013,2068.76,1638.8
O000175,2024-08-08,P0218,C0295,R11,7,0.0451,1707.59,1085.3
O000176,2025-10-25,P0082,C0456,R12,1,0.0712,314.02,222.77
O000177,2025-12-14,P0151,C0885,R17,8,0.1782,5195.79,3822.08
O000178,2023-09-14,P0035,C1007,R18,1,0.0441,151.44,93.09
O000179,2023-10-21,P0169,C0871,R10,5,0.1067,674.29,478.39
O000180,2025-02-09,P0128,C0109,R10,3,0.0423,188.69,125.88
O000181,2023-06-20,P0136,C0745,R16,2,0.0241,192.69,148.93
O000182,2024-12-15,P0037,C0210,R16,4,0.0299,488.96,303.49
O000183,2024-03-17,P0124,C1108,R19,2,0.0681,233.13,157.26
O000184,2025-05-11,P0177,C0873,R03,1,0.07,272.48,182.51
O000185,2023-09-27,P0059,C0688,R12,2,0.0734,1635.76,1190.47
O000186,2025-12-28,P0105,C0295,R11,5,0.0674,2302.82,1869.93
O000187,2023-01-04,P0122,C1189,R12,2,0.033,70.25,50.45
O000188,2025-11-06,P0157,C1184,R09,2,0.0078,2602.71,1785.97
O000189,2023-04-21,P0153,C0721,R03,2,0.053,1218.21,1006.91
O000190,2025-11-15,P0100,C1003,R12,2,0.1116,1034.12,738.71
O000191,2025-12-22,P0103,C0841,R06,1,0.0027,958.38,732.9
O000192,2023-11-10,P0171,C0996,R13,6,0.0356,1598.24,1203.99
O000193,2023-12-19,P0004,C0158,R12,1,0.0834,93.91,68.48
O000194,2025-12-05,P0195,C0202,R19,2,0.0223,2191.21,1289.11
O000195,2023-12-27,P0084,C0338,R07,2,0.0803,171.18,121.83
O000196,2023-07-20,P0104,C0240,R13,1,0.0628,988.57,749.42
O000197,2024-07-19,P0032,C0860,R17,5,0.0356,381.94,287.52
O000198,2025-02-04,P0082,C0974,R10,3,0.138,898.49,684.83
O000199,2024-04-25,P0105,C0839,R01,3,0.0284,1441.28,1132.93
O000200,2024-09-08,P0159,C0509,R06,2,0.0998,405.15,344.13
O000201,2025-02-04,P0185,C0846,R01,5,0.1645,85.41,81.75
O000202,2024-12-14,P0213,C0894,R20,2,0.0892,494.59,400.97
O000203,2024-04-28,P0202,C0101,R17,9,0.0161,509.52,411.34
O000204,2024-02-12,P0039,C0751,R20,6,0.0614,1662.4,1112.01
O000205,2023-04-01,P0104,C0022,R08,3,0.0157,3075.32,2263.51
O000206,2024-01-26,P0165,C1045,R15,5,0.0575,320.85,231.26
O000207,2025-03-19,P0157,C0045,R02,1,0.1014,1183.16,896.64
O000208,2023-08-19,P0001,C0957,R09,5,0.0837,1571.14,1243.96
O000209,2025-05-16,P0188,C0071,R16,1,0.0052,567.61,475.68
O000210,2023-11-02,P0216,C0804,R19,2,0.0229,3064.24,2263.73
O000211,2024-06-20,P0215,C0091,R09,2,0.0361,550.35,368.28
O000212,2023-10-05,P0176,C0763,R19,1,0.0407,47.08,30.4
O000213,2024-10-06,P0144,C0278,R16,2,0.0219,710.66,519.7
O000214,2025-03-17,P0209,C0958,R13,2,0.0725,395.05,260.88
O000215,2024-01-15,P0005,C1177,R07,5,0.088,119.39,77.89
O000216,2023-11-07,P0024,C0595,R07,1,0.0418,121.75,81.38
O000217,2023-10-02,P0147,C0247,R16,1,0.0103,94.64,69.1
O000218,2025-03-06,P0012,C0627,R07,5,0.0853,172.57,125.95
O000219,2023-10-02,P0071,C0149,R17,1,0.1089,61.48,56.05
O000220,2025-05-28,P0097,C1130,R13,3,0.0861,283.54,232.81
O000221,2024-01-03,P0179,C0043,R15,2,0.0926,114.98,92.32
O000222,2023-04-20,P0014,C0953,R13,3,0.0452,124.82,96.74
O000223,2025-10-11,P0187,C0897,R11,6,0.0617,3729.61,2345.69
O000224,2024-06-09,P0012,C1058,R16,4,0.1223,137.21,100.78
O000225,2023-08-01,P0170,C0936,R19,1,0.0847,593.63,437.92
O000226,2025-03-01,P0021,C0809,R08,5,0.0797,2446.15,1937.12
O000227,2023-02-28,P0176,C0244,R13,1,0.0912,44.05,29.77
O000228,2024-04-23,P0014,C0451,R20,1,0.0436,43.13,31.78
O000229,2024-07-08,P0204,C0671,R20,2,0.1012,1747.8,1440.39
O000230,2024-11-17,P0022,C1111,R13,1,0.0315,462.99,373.53
O000231,2025-10-26,P0101,C0716,R16,7,0.18,2566.4,2418.49
O000232,2023-03-09,P0081,C0303,R01,1,0.0498,173.67,128.74
O000233,2025-02-27,P0089,C0418,R03,1,0.1248,630.7,518.94
O000234,2024-04-15,P0111,C0382,R19,4,0.0837,2739.71,2157.45
O000235,2025-11-13,P0174,C0818,R03,4,0.0733,46.41,42.91
O000236,2025-08-26,P0023,C0272,R01,6,0.0283,1878.72,1114.93
O000237,2025-11-13,P0007,C1193,R04,6,0.0004,10287.63,6507.76
O000238,2024-06-02,P0141,C0858,R02,4,0.0451,3098.47,1985.24
O000239,2024-08-05,P0005,C0270,R12,2,0.0622,52.89,32.62
O000240,2024-09-21,P0134,C0705,R03,3,0.131,405.22,356.64
O000241,2024-09-18,P0027,C0324,R19,4,0.0076,418.63,301.34
O000242,2024-07-25,P0065,C0689,R09,3,0.0022,1463.59,1109.71
O000243,2025-04-06,P0120,C0597,R12,2,0.0177,787.14,451.09
O000244,2023-06-15,P0067,C0842,R14,1,0.032,687.74,464.07
O000245,2025-12-11,P0111,C0254,R07,1,0.057,694.47,543.87
O000246,2023-04-27,P0217,C0994,R09,8,0.016,854.77,513.67
O000247,2025-10-23,P0094,C0933,R06,3,0.1679,1941.24,1454.71
O000248,2023-12-07,P0067,C0314,R06,2,0.085,1312.87,904.75
O000249,2023-08-21,P0038,C0992,R11,2,0.0573,2457.15,2046.08
O000250,2025-07-21,P0200,C0916,R10,1,0.0437,293.82,241.15
O000251,2025-02-11,P0213,C0387,R02,2,0.0815,504.79,385.82
O000252,2025-10-12,P0045,C0626,R05,6,0.0767,3522.31,2238.63
O000253,2025-12-07,P0029,C0003,R14,4,0.0527,1364.79,1130.87
O000254,2023-12-11,P0040,C1070,R01,1,0.1162,241.8,173.54
O000255,2025-04-03,P0163,C0824,R14,4,0.0876,3323.26,2681.18
O000256,2024-12-18,P0190,C0048,R18,3,0.0137,1290.56,833.39
O000257,2024-06-15,P0006,C0910,R02,3,0.094,737.92,482.15
O000258,2024-09-18,P0134,C0282,R10,2,0.0671,294.51,239.21
O000259,2023-04-27,P0117,C0610,R18,10,0.0484,4174.23,2515.82
O000260,2024-04-11,P0169,C0216,R06,2,0.0451,299.8,193.11
O000261,2025-09-04,P0163,C0017,R11,7,0.0538,6059.22,4657.98
O000262,2023-07-11,P0127,C0068,R08,1,0.0424,838.34,647.37
O000263,2025-12-10,P0094,C0029,R11,1,0.0315,739.91,495.43
O000264,2024-04-14,P0215,C0803,R11,3,0.0924,758.27,540.72
O000265,2023-11-24,P0064,C1121,R01,1,0.0338,524.89,326.02
O000266,2024-07-28,P0007,C0949,R19,6,0.0246,10498.34,6504.28
O000267,2023-03-18,P0174,C1143,R19,3,0.0977,36.71,32.5
O000268,2023-04-23,P0034,C0632,R07,3,0.1764,1226.74,944.03
O000269,2025-10-09,P0174,C0417,R20,3,0.076,36.93,32.46
O000270,2023-11-11,P0025,C1001,R17,3,0.0571,878.42,603.59
O000271,2023-01-25,P0209,C0256,R03,3,0.0119,636.08,399.0
O000272,2025-06-11,P0148,C0767,R13,8,0.0722,6343.77,4813.25
O000273,2023-07-11,P0212,C0168,R04,3,0.0248,2955.34,1821.21
O000274,2025-09-26,P0070,C0775,R17,3,0.0914,1687.35,1421.49
O000275,2025-09-23,P0091,C0306,R03,1,0.0941,43.21,37.42
O000276,2023-11-22,P0174,C0280,R02,3,0.1497,33.73,32.3
O000277,2024-05-21,P0189,C0911,R16,3,0.0315,1616.59,1325.08
O000278,2023-02-19,P0028,C1159,R08,2,0.0967,994.96,609.69
O000279,2024-03-16,P0106,C0813,R14,3,0.1779,1375.91,1223.74
O000280,2023-12-20,P0051,C0593,R05,5,0.0917,1724.57,1365.68
O000281,2025-08-01,P0076,C0867,R17,4,0.0164,6878.02,4917.08
O000282,2023-04-02,P0015,C1156,R12,6,0.1437,69.11,61.35
O000283,2025-11-25,P0117,C0960,R09,3,0.0618,1214.02,756.52
O000284,2023-08-03,P0219,C0484,R16,1,0.1125,119.84,77.36
O000285,2023-06-19,P0178,C0657,R16,3,0.1486,533.91,424.73
O000286,2024-01-09,P0158,C0541,R15,1,0.0574,683.88,416.76
O000287,2024-11-21,P0001,C0617,R05,2,0.0166,649.89,488.42
O000288,2025-10-14,P0024,C0850,R13,6,0.0467,715.84,491.93
O000289,2023-04-09,P0148,C0261,R16,1,0.0413,841.47,596.8
O000290,2023-04-20,P0143,C0964,R05,5,0.118,7862.81,5610.11
O000291,2024-04-28,P0026,C0611,R17,2,0.0934,35.49,26.45
O000292,2024-09-22,P0097,C0282,R10,4,0.1041,359.62,314.14
O000293,2025-05-07,P0210,C1085,R05,1,0.0184,81.81,57.9
O000294,2025-05-25,P0202,C1194,R15,1,0.0557,55.99,45.74
O000295,2025-06-28,P0149,C0643,R18,5,0.0563,6093.57,4085.12
O000296,2023-12-08,P0030,C0047,R09,3,0.0857,974.38,855.06
O000297,2024-07-19,P0054,C0703,R04,8,0.0338,1890.38,1385.42
O000298,2025-06-21,P0007,C0061,R19,2,0.0028,3675.88,2180.28
O000299,2023-07-18,P0031,C1039,R09,2,0.0199,1683.29,1243.54
O000300,2025-10-28,P0034,C0138,R01,4,0.0602,1866.02,1278.87
O000301,2023-12-08,P0200,C0900,R13,1,0.0766,280.77,238.87
O000302,2024-12-06,P0207,C0677,R12,1,0.0223,102.25,61.61
O000303,2025-07-25,P0174,C0850,R13,5,0.0906,58.71,54.59
O000304,2023-07-02,P0205,C0765,R08,2,0.0214,536.94,431.28
O000305,2025-05-01,P0125,C0391,R15,8,0.1658,7950.22,5383.49
O000306,2023-11-26,P0016,C1080,R17,1,0.0972,244.13,158.14
O000307,2023-09-24,P0174,C0956,R13,1,0.1022,12.0,11.15
O000308,2023-06-04,P0116,C0539,R11,1,0.0335,557.04,457.42
O000309,2023-08-24,P0029,C1036,R15,8,0.0322,2816.26,2188.77
O000310,2024-04-21,P0151,C0941,R14,5,0.0876,3734.61,2458.35
O000311,2023-10-26,P0057,C0422,R14,9,0.1566,1896.37,1689.6
O000312,2024-04-11,P0001,C0736,R14,7,0.0589,2144.58,1716.77
O000313,2025-05-10,P0025,C0227,R17,1,0.1598,250.17,198.57
O000314,2024-02-10,P0004,C0497,R03,6,0.094,556.57,414.8
O000315,2023-04-19,P0100,C0469,R04,4,0.0611,2112.84,1508.16
O000316,2024-03-27,P0015,C0689,R09,2,0.0238,26.43,21.03
O000317,2025-10-27,P0125,C0396,R18,2,0.0221,2451.7,2046.94
O000318,2024-10-10,P0155,C0258,R03,3,0.0464,2739.32,2333.22
O000319,2023-08-02,P0161,C0446,R14,1,0.0262,5.78,4.72
O000320,2024-06-12,P0207,C0917,R11,2,0.0097,202.3,126.37
O000321,2024-12-13,P0212,C0043,R15,5,0.0019,4687.31,2960.05
O000322,2024-12-01,P0015,C0651,R10,2,0.0792,24.67,20.95
O000323,2023-09-28,P0076,C0673,R13,2,0.0718,3222.55,2495.02
O000324,2025-09-06,P0032,C0989,R05,8,0.0248,610.26,465.15
O000325,2023-11-17,P0067,C0254,R07,6,0.0794,4031.72,2675.43
O000326,2023-10-11,P0103,C0441,R20,1,0.0655,900.97,716.09
O000327,2023-04-20,P0190,C0047,R09,1,0.0715,403.92,282.02
O000328,2024-07-19,P0098,C0230,R04,1,0.0354,54.05,34.55
O000329,2024-03-26,P0055,C0884,R04,4,0.0449,709.02,520.77
O000330,2023-11-02,P0047,C0582,R17,2,0.0332,1113.75,950.91
O000331,2024-09-08,P0166,C0876,R11,2,0.0443,149.78,136.23
O000332,2025-12-10,P0045,C0590,R17,1,0.1232,538.08,367.88
O000333,2023-03-26,P0159,C0866,R14,2,0.0655,443.51,338.69
O000334,2025-07-11,P0031,C0383,R19,1,0.0918,751.65,623.41
O000335,2023-10-15,P0218,C0701,R11,2,0.0932,475.09,303.09
O000336,2023-11-23,P0056,C0726,R03,1,0.1186,448.56,312.97
O000337,2025-11-26,P0218,C0789,R11,2,0.0976,464.82,311.17
O000338,2025-04-08,P0186,C0360,R15,3,0.0132,2241.18,1371.0
O000339,2024-12-19,P0119,C0379,R08,2,0.0283,1189.07,693.04
O000340,2025-12-25,P0101,C0712,R11,1,0.049,447.63,345.21
O000341,2024-12-08,P0063,C1083,R20,2,0.0934,549.37,474.28
O000342,2024-09-27,P0202,C0639,R16,2,0.0577,107.37,89.84
O000343,2025-11-12,P0207,C0528,R03,2,0.0979,184.76,128.37
O000344,2025-02-07,P0186,C0026,R13,5,0.0387,3688.38,2317.5
O000345,2023-04-23,P0185,C0107,R16,8,0.053,161.77,133.22
O000346,2024-02-11,P0117,C0801,R01,3,0.0635,1233.29,747.01
O000347,2024-07-12,P0116,C0177,R15,2,0.0985,1052.88,921.48
O000348,2023-12-21,P0182,C0492,R18,2,0.1277,652.24,556.07
O000349,2025-09-07,P0122,C0119,R05,6,0.1576,185.5,147.53
O000350,2024-07-08,P0037,C0963,R17,6,0.0397,770.85,450.57
O000351,2024-11-21,P0007,C0290,R10,6,0.062,10159.69,6357.43
O000352,2024-08-24,P0141,C0871,R10,7,0.0756,5305.82,3498.97
O000353,2024-07-06,P0204,C0575,R01,6,0.0128,5798.18,4254.76
O000354,2023-09-28,P0207,C0949,R19,2,0.0886,196.61,125.71
O000355,2025-07-02,P0080,C0567,R05,3,0.0675,3580.37,2498.43
O000356,2024-09-18,P0137,C0316,R14,2,0.0406,1212.29,677.31
O000357,2025-11-12,P0134,C1156,R12,3,0.1286,399.18,359.96
O000358,2024-07-05,P0108,C0897,R11,3,0.033,335.66,242.05
O000359,2023-06-22,P0133,C0774,R15,5,0.0332,4458.05,2958.75
O000360,2023-08-01,P0145,C0791,R02,5,0.0753,2221.93,1848.79
O000361,2024-12-08,P0024,C1048,R13,2,0.0891,226.04,168.33
O000362,2023-06-12,P0031,C1105,R07,3,0.01,2558.36,1877.17
O000363,2025-11-20,P0054,C0193,R13,3,0.0917,641.0,512.18
O000364,2025-09-07,P0065,C0783,R03,4,0.0577,1893.56,1490.88
O000365,2023-01-02,P0149,C1099,R01,3,0.081,3586.77,2437.12
O000366,2024-07-22,P0056,C0135,R16,5,0.0506,2452.41,1564.92
O000367,2025-04-03,P0161,C1022,R02,2,0.0731,11.21,9.58
O000368,2023-03-14,P0027,C0647,R10,3,0.0465,312.08,219.98
O000369,2025-04-19,P0124,C0094,R08,8,0.0834,903.5,610.89
